27.495740346399998,-7.8238219655,521.6904296875,private__insid,0
27.4888021044,-7.8283515067,457.5562633137,public,0
27.4874682456,-7.8302063285,452.8422184565,public,0
27.495528162800003,-7.823089395399999,462.8613167799,private__insid,0
27.49961096,-7.82461118,468.4093017578,public,0
27.4973842239,-7.833210301,466.94244384769996,private__insid,0
27.4977433681,-7.833182412699999,461.8980407715,private__insid,0
27.4911891215,-7.8255245828,451.0515136719,private__insid,0
40.3868185,-3.6991246,0.0,public,0
,,,private__insid,0
